id,kode,path,nama
101,"parse-cfg","/parse/cfg","Konfig Parser"
102,"parse-cfg-add","/parse/cfg/add","Tambah Konfig Parser"
103,"parse-cfg-edit","/parse/cfg/{id}/edit","Edit Konfig Parser"
104,"parse-cfg-delete","/parse/cfg/{id}/delete","Hapus Konfig Parser"
105,"parse-cfg-act","/parse/cfg/{act}/act","Act Konfig Parser"
106,"parse-msg","/parse/msg","msg Parsed"
107,"parse-msg-add","/parse/msg/add","Tambah Msg Parsed"
108,"parse-msg-edit","/parse/msg/{id}/edit","Edit Msg Parsed"
109,"parse-msg-delete","/parse/msg/{id}/delete","Hapus Msg Parsed"
110,"parse-msg-act","/parse/msg/{act}/act","Act Msg Parsed"
111,"parse-rnd","/parse/rnd","rnd Parsed"
112,"parse-rnd-add","/parse/rnd/add","Tambah Rnd Parsed"
113,"parse-rnd-edit","/parse/rnd/{id}/edit","Edit Rnd Parsed"
114,"parse-rnd-delete","/parse/rnd/{id}/delete","Hapus Rnd Parsed"
115,"parse-rnd-act","/parse/rnd/{act}/act","Act Rnd Parsed"
